"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 20:36:30,30.9,93.1,64.4
2025-09-13 20:37:00,30.9,96.0,64.4
2025-09-13 20:37:30,30.9,96.0,64.4
2025-09-13 20:38:00,31.8,96.0,64.4
2025-09-13 20:38:30,31.8,96.0,64.4
2025-09-13 20:39:00,31.8,96.0,64.4
2025-09-13 20:39:30,31.8,96.0,64.4
2025-09-13 20:40:00,31.8,96.0,64.4
2025-09-13 20:40:30,31.8,96.0,64.4
2025-09-13 20:41:00,31.8,96.0,64.4
2025-09-13 20:41:30,31.8,96.0,64.4
2025-09-13 20:42:00,31.8,96.0,64.4
2025-09-13 20:42:30,31.8,96.0,64.4
2025-09-13 20:43:00,31.8,96.0,64.4
2025-09-13 20:43:30,31.8,96.0,64.4
2025-09-13 20:44:00,31.8,96.0,64.4
2025-09-13 20:44:30,31.8,96.0,64.4
2025-09-13 20:45:00,31.8,96.0,64.4
2025-09-13 20:45:30,31.8,96.0,64.4
2025-09-13 20:46:00,31.8,96.0,64.4
2025-09-13 20:46:30,31.8,96.0,64.4
2025-09-13 20:47:00,31.8,96.0,64.3
2025-09-13 20:47:30,31.8,96.0,64.3
2025-09-13 20:48:00,31.8,96.0,64.3
2025-09-13 20:48:30,31.8,96.0,64.3
2025-09-13 20:49:00,31.8,96.0,64.3
2025-09-13 20:49:30,31.8,96.0,64.3
2025-09-13 20:50:00,31.8,96.0,64.3
2025-09-13 20:50:30,31.8,96.0,64.3
2025-09-13 20:51:00,31.8,96.0,64.3
2025-09-13 20:51:30,31.8,96.0,64.3
2025-09-13 20:52:00,31.8,96.0,64.3
2025-09-13 20:52:30,31.8,96.0,64.3
2025-09-13 20:53:00,31.8,96.0,64.3
2025-09-13 20:53:30,31.8,96.0,64.3
2025-09-13 20:54:00,31.8,96.0,64.3
2025-09-13 20:54:30,31.8,96.0,64.3
2025-09-13 20:55:00,31.8,96.0,64.3
2025-09-13 20:55:30,31.8,96.0,64.3
2025-09-13 20:56:00,31.8,96.0,64.3
2025-09-13 20:56:30,31.8,96.0,64.3
2025-09-13 20:57:00,31.8,96.0,64.3
2025-09-13 20:57:30,31.8,96.0,64.3
2025-09-13 20:58:00,31.8,96.0,64.3
2025-09-13 20:58:30,31.8,96.0,64.3
2025-09-13 20:59:00,31.8,96.0,64.3
2025-09-13 20:59:30,31.8,96.0,64.3
2025-09-13 21:00:00,31.8,96.0,64.3
2025-09-13 21:00:30,31.8,96.0,64.3
2025-09-13 21:01:00,31.8,96.0,64.3
2025-09-13 21:01:30,31.8,96.0,64.3
2025-09-13 21:02:00,31.8,96.0,64.3
2025-09-13 21:02:30,31.8,96.0,64.3
2025-09-13 21:03:00,31.8,96.0,64.3
2025-09-13 21:03:30,31.8,96.0,64.3
2025-09-13 21:04:00,31.8,85.1,63.6
2025-09-13 21:04:30,31.8,85.1,63.6
2025-09-13 21:05:00,31.8,85.1,63.6
2025-09-13 21:05:30,31.8,85.1,63.6
2025-09-13 21:06:00,27.8,85.1,50.6
2025-09-13 21:06:30,27.8,85.1,50.6
2025-09-13 21:07:00,27.8,70.4,50.6
2025-09-13 21:07:30,27.8,70.4,50.6
2025-09-13 21:08:00,22.5,70.4,47.9
2025-09-13 21:08:30,22.5,70.4,47.9
2025-09-13 21:09:00,22.5,70.4,47.9
2025-09-13 21:09:30,22.5,70.4,47.9
2025-09-13 21:10:00,22.5,70.4,47.9
2025-09-13 21:10:30,22.5,70.4,47.9
2025-09-13 21:11:00,22.5,70.4,46.4
2025-09-13 21:11:30,22.5,70.4,46.4
2025-09-13 21:12:00,22.5,70.4,46.4
2025-09-13 21:12:30,22.5,70.4,46.4
2025-09-13 21:13:00,22.5,70.4,46.4
2025-09-13 21:13:30,22.5,70.4,46.4
2025-09-13 21:14:00,22.5,70.4,46
2025-09-13 21:14:30,22.5,70.4,46
2025-09-13 21:15:00,22.5,70.5,46
2025-09-13 21:15:30,22.5,70.5,46
2025-09-13 21:16:00,22.5,70.5,46
2025-09-13 21:16:30,22.5,70.5,46
2025-09-13 21:17:00,22.5,70.5,45.9
