"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 19:29:30,1,3.50,0
2025-09-13 19:30:00,0.500,1.75,0
2025-09-13 19:30:30,0.500,1.75,0
2025-09-13 19:31:00,0,0,0
2025-09-13 19:31:30,0,0,0
2025-09-13 19:32:00,0,0,0
2025-09-13 19:32:30,0,0,0
2025-09-13 19:33:00,0,0,0
2025-09-13 19:33:30,0,0,0
2025-09-13 19:34:00,0,0,0
2025-09-13 19:34:30,0,0,0
2025-09-13 19:35:00,0,0,0
2025-09-13 19:35:30,0,0,0
2025-09-13 19:36:00,0,0,0
2025-09-13 19:36:30,0,0,0
2025-09-13 19:37:00,0,0,0
2025-09-13 19:37:30,0,0,0
2025-09-13 19:38:00,0,0,0
2025-09-13 19:38:30,0,0,0
2025-09-13 19:39:00,0,0,0
2025-09-13 19:39:30,0,0,0
2025-09-13 19:40:00,0,0,0
2025-09-13 19:40:30,0,0,0
2025-09-13 19:41:00,0,0,0
2025-09-13 19:41:30,0,0,0
2025-09-13 19:42:00,0,0.500,0
2025-09-13 19:42:30,0,0.500,0
2025-09-13 19:43:00,0,1,0
2025-09-13 19:43:30,0,1,0
2025-09-13 19:44:00,0.500,2.25,0
2025-09-13 19:44:30,0.500,2.25,0
2025-09-13 19:45:00,1,3.50,0
2025-09-13 19:45:30,1,3.50,0
2025-09-13 19:46:00,1,4,1
2025-09-13 19:46:30,1,4,1
2025-09-13 19:47:00,1,4.50,2
2025-09-13 19:47:30,1,4.50,2
2025-09-13 19:48:00,9.50,32.8,19.8
2025-09-13 19:48:30,9.50,32.8,19.8
2025-09-13 19:49:00,18,61,37.5
2025-09-13 19:49:30,18,61,37.5
2025-09-13 19:50:00,18.3,61.8,38.3
2025-09-13 19:50:30,18.3,61.8,38.3
2025-09-13 19:51:00,18.5,62.5,39
2025-09-13 19:51:30,18.5,62.5,39
2025-09-13 19:52:00,18.8,62.8,39.3
2025-09-13 19:52:30,18.8,62.8,39.3
2025-09-13 19:53:00,19,63,39.5
2025-09-13 19:53:30,19,63,39.5
2025-09-13 19:54:00,18.8,63,39.8
2025-09-13 19:54:30,18.8,63,39.8
2025-09-13 19:55:00,19,63,40
2025-09-13 19:55:30,19,63,40
2025-09-13 19:56:00,19,63.5,40
2025-09-13 19:56:30,19,63.5,40
2025-09-13 19:57:00,19,64,40
2025-09-13 19:57:30,19,64,40
2025-09-13 19:58:00,19,64.8,40
2025-09-13 19:58:30,19,64.8,40
2025-09-13 19:59:00,19,65.8,40.5
2025-09-13 19:59:30,19,65.8,40.5
2025-09-13 20:00:00,19,65.8,40.5
2025-09-13 20:00:30,19,65.8,40.5
2025-09-13 20:01:00,19,66.3,41
2025-09-13 20:01:30,19,66.3,41
2025-09-13 20:02:00,19,66.5,41
2025-09-13 20:02:30,19,66.5,41
2025-09-13 20:03:00,19,67.3,41.3
2025-09-13 20:03:30,19,67.3,41.3
2025-09-13 20:04:00,19,67.3,41.8
2025-09-13 20:04:30,19,67.3,41.8
2025-09-13 20:05:00,19,67.3,41.8
2025-09-13 20:05:30,19,67.3,41.8
2025-09-13 20:06:00,19,67.3,42
2025-09-13 20:06:30,19,67.3,42
2025-09-13 20:07:00,19,67.3,42
2025-09-13 20:07:30,19,67.3,42
2025-09-13 20:08:00,19,67.3,42.3
2025-09-13 20:08:30,19,67.3,42.3
2025-09-13 20:09:00,19,67.3,42.3
2025-09-13 20:09:30,19,67.3,42.3
2025-09-13 20:10:00,19,66.5,42.3
2025-09-13 20:10:30,19,66.5,42.3
2025-09-13 20:11:00,19,66.3,41.8
2025-09-13 20:11:30,19,66.3,41.8
2025-09-13 20:12:00,19,65.8,41.8
2025-09-13 20:12:30,19,65.8,41.8
2025-09-13 20:13:00,19,66.3,42.3
2025-09-13 20:13:30,19,66.3,42.3
2025-09-13 20:14:00,19.5,66.3,41.8
2025-09-13 20:14:30,19.5,66.3,41.8
2025-09-13 20:15:00,19.5,66.3,42.3
2025-09-13 20:15:30,19.5,66.3,42.3
2025-09-13 20:16:00,19.5,66.3,41.8
2025-09-13 20:16:30,19.5,66.3,41.8
2025-09-13 20:17:00,19.5,65.8,42.3
2025-09-13 20:17:30,19.5,65.8,42.3
2025-09-13 20:18:00,19.5,64.8,41.8
2025-09-13 20:18:30,19.5,64.8,41.8
2025-09-13 20:19:00,19.5,66,42.3
2025-09-13 20:19:30,19.5,66,42.3
2025-09-13 20:20:00,19.5,65.3,41.8
2025-09-13 20:20:30,19.5,65.3,41.8
2025-09-13 20:21:00,19.5,64,42.3
2025-09-13 20:21:30,19.5,64,42.3
2025-09-13 20:22:00,19.5,64,42
2025-09-13 20:22:30,19.5,64,42
2025-09-13 20:23:00,19.5,63.8,42
2025-09-13 20:23:30,19.5,63.8,42
2025-09-13 20:24:00,19.5,64,42.3
2025-09-13 20:24:30,19.5,64,42.3
2025-09-13 20:25:00,19.5,64,42
2025-09-13 20:25:30,19.5,64,42
2025-09-13 20:26:00,20,63.8,42.3
2025-09-13 20:26:30,20,63.8,42.3
2025-09-13 20:27:00,20,63.8,42
2025-09-13 20:27:30,20,63.8,42
2025-09-13 20:28:00,20.3,63.8,42.3
2025-09-13 20:28:30,20.3,63.8,42.3
2025-09-13 20:29:00,20,63.5,42
2025-09-13 20:29:30,20,63.5,42
2025-09-13 20:30:00,20.3,63.8,42.3
2025-09-13 20:30:30,20.3,63.8,42.3
2025-09-13 20:31:00,20,63.8,42
2025-09-13 20:31:30,20,63.8,42
2025-09-13 20:32:00,20,63.3,42
2025-09-13 20:32:30,20,63.3,42
