"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 22:29:30,3,16,7
2025-09-13 22:30:00,3,16,7
2025-09-13 22:30:30,3,16,7
2025-09-13 22:31:00,3,16,7
2025-09-13 22:31:30,3,16,7
2025-09-13 22:32:00,3,16,7
2025-09-13 22:32:30,3,16,7
2025-09-13 22:33:00,3,16,7
2025-09-13 22:33:30,3,16,7
2025-09-13 22:34:00,3,16,7
2025-09-13 22:34:30,3,16,7
2025-09-13 22:35:00,3,16,7
2025-09-13 22:35:30,3,16,7
2025-09-13 22:36:00,3,16,7
2025-09-13 22:36:30,3,16,7
2025-09-13 22:37:00,3,16,7
2025-09-13 22:37:30,3,16,7
2025-09-13 22:38:00,3,16,7
2025-09-13 22:38:30,3,16,7
2025-09-13 22:39:00,3,16,7
2025-09-13 22:39:30,3,16,7
2025-09-13 22:40:00,3,16,7
2025-09-13 22:40:30,3,16,7
2025-09-13 22:41:00,3,16,7
2025-09-13 22:41:30,3,16,7
2025-09-13 22:42:00,3,16,7
2025-09-13 22:42:30,3,16,7
2025-09-13 22:43:00,3,16,7
2025-09-13 22:43:30,3,16,7
2025-09-13 22:44:00,3,16,7
2025-09-13 22:44:30,3,16,7
2025-09-13 22:45:00,3,16,7
2025-09-13 22:45:30,3,16,7
2025-09-13 22:46:00,3,16,7
2025-09-13 22:46:30,3,16,7
2025-09-13 22:47:00,3,16,7
2025-09-13 22:47:30,3,16,7
2025-09-13 22:48:00,3,16,7
2025-09-13 22:48:30,3,16,7
2025-09-13 22:49:00,3,16,7
2025-09-13 22:49:30,3,16,7
2025-09-13 22:50:00,3,16,7
2025-09-13 22:50:30,3,16,7
2025-09-13 22:51:00,3,16,7
2025-09-13 22:51:30,3,16,7
2025-09-13 22:52:00,3,16,7
2025-09-13 22:52:30,3,16,7
2025-09-13 22:53:00,3,16,7
2025-09-13 22:53:30,3,16,7
2025-09-13 22:54:00,3,16,7
2025-09-13 22:54:30,3,16,7
2025-09-13 22:55:00,3,16,7
2025-09-13 22:55:30,3,16,7
2025-09-13 22:56:00,3,16,7
2025-09-13 22:56:30,3,16,7
2025-09-13 22:57:00,3,16,7
2025-09-13 22:57:30,3,16,7
2025-09-13 22:58:00,3,16,7
2025-09-13 22:58:30,3,16,7
2025-09-13 22:59:00,3,16,7
2025-09-13 22:59:30,3,16,7
2025-09-13 23:00:00,3,16,7
2025-09-13 23:00:30,3,16,7
2025-09-13 23:01:00,3,16,7
2025-09-13 23:01:30,3,16,7
2025-09-13 23:02:00,3,16,7
2025-09-13 23:02:30,3,16,7
2025-09-13 23:03:00,3,16,7
2025-09-13 23:03:30,3,16,7
2025-09-13 23:04:00,3,16,7
