"Time","{dostawca=""GCP"", konfiguracja=""medium"", usługa=""Cloud Run""}"
2025-09-18 01:18:00,3.99
2025-09-18 01:18:30,3.99
2025-09-18 01:19:00,8.99
2025-09-18 01:19:30,8.99
2025-09-18 01:20:00,9.99
2025-09-18 01:20:30,9.99
2025-09-18 01:21:00,9.99
2025-09-18 01:21:30,9.99
2025-09-18 01:22:00,9.99
2025-09-18 01:22:30,9.99
2025-09-18 01:23:00,9.99
2025-09-18 01:23:30,9.99
2025-09-18 01:24:00,9.99
2025-09-18 01:24:30,9.99
2025-09-18 01:25:00,9.99
2025-09-18 01:25:30,9.99
2025-09-18 01:26:00,9.99
2025-09-18 01:26:30,9.99
2025-09-18 01:27:00,9.99
2025-09-18 01:27:30,9.99
2025-09-18 01:28:00,9.99
2025-09-18 01:28:30,9.99
2025-09-18 01:29:00,9.99
2025-09-18 01:29:30,9.99
2025-09-18 01:30:00,9.99
2025-09-18 01:30:30,9.99
2025-09-18 01:31:00,9.99
2025-09-18 01:31:30,9.99
2025-09-18 01:32:00,9.99
2025-09-18 01:32:30,9.99
2025-09-18 01:33:00,9.99
2025-09-18 01:33:30,9.99
2025-09-18 01:34:00,9.99
2025-09-18 01:34:30,9.99
2025-09-18 01:35:00,9.99
2025-09-18 01:35:30,9.99
2025-09-18 01:36:00,9.99
2025-09-18 01:36:30,9.99
2025-09-18 01:37:00,9.99
2025-09-18 01:37:30,9.99
2025-09-18 01:38:00,9.99
2025-09-18 01:38:30,9.99
2025-09-18 01:39:00,9.99
2025-09-18 01:39:30,9.99
2025-09-18 01:40:00,9.99
2025-09-18 01:40:30,9.99
2025-09-18 01:41:00,9.99
2025-09-18 01:41:30,9.99
2025-09-18 01:42:00,9.99
2025-09-18 01:42:30,9.99
2025-09-18 01:43:00,9.99
2025-09-18 01:43:30,9.99
2025-09-18 01:44:00,9.99
2025-09-18 01:44:30,9.99
2025-09-18 01:45:00,9.99
2025-09-18 01:45:30,9.99
2025-09-18 01:46:00,9.99
2025-09-18 01:46:30,9.99
2025-09-18 01:47:00,9.99
2025-09-18 01:47:30,9.99
2025-09-18 01:48:00,9.99
2025-09-18 01:48:30,9.99
2025-09-18 01:49:00,9.99
2025-09-18 01:49:30,9.99
2025-09-18 01:50:00,9.99
2025-09-18 01:50:30,9.99
2025-09-18 01:51:00,11.0
2025-09-18 01:51:30,11.0
2025-09-18 01:52:00,11.0
2025-09-18 01:52:30,11.0
2025-09-18 01:53:00,11.0
2025-09-18 01:53:30,11.0
2025-09-18 01:54:00,11.0
2025-09-18 01:54:30,11.0
2025-09-18 01:55:00,11.0
2025-09-18 01:55:30,11.0
2025-09-18 01:56:00,11.0
2025-09-18 01:56:30,11.0
2025-09-18 01:57:00,11.0
2025-09-18 01:57:30,11.0
2025-09-18 01:58:00,11.0
2025-09-18 01:58:30,11.0
2025-09-18 01:59:00,11.0
2025-09-18 01:59:30,11.0
2025-09-18 02:00:00,11.0
2025-09-18 02:00:30,11.0
2025-09-18 02:01:00,11.0
2025-09-18 02:01:30,11.0
2025-09-18 02:02:00,11.0
2025-09-18 02:02:30,11.0
2025-09-18 02:03:00,11.0
2025-09-18 02:03:30,11.0
2025-09-18 02:04:00,11.0
2025-09-18 02:04:30,11.0
2025-09-18 02:05:00,11.0
2025-09-18 02:05:30,11.0
2025-09-18 02:06:00,11.0
2025-09-18 02:06:30,11.0
2025-09-18 02:07:00,11.0
2025-09-18 02:07:30,11.0
2025-09-18 02:08:00,11.0
2025-09-18 02:08:30,11.0
2025-09-18 02:09:00,11.0
2025-09-18 02:09:30,11.0
2025-09-18 02:10:00,11.0
2025-09-18 02:10:30,11.0
