sep=,
"Time","k6_checks_rate"
2025-09-13 20:17:45,96 %
2025-09-13 20:18:00,96 %
2025-09-13 20:18:15,96 %
2025-09-13 20:18:30,96 %
2025-09-13 20:18:45,96 %
2025-09-13 20:19:00,96 %
2025-09-13 20:19:15,96 %
2025-09-13 20:19:30,96.7 %
2025-09-13 20:19:45,97.3 %
2025-09-13 20:20:00,97.3 %
2025-09-13 20:20:15,97.3 %
2025-09-13 20:20:30,97.3 %
2025-09-13 20:20:45,97.3 %
2025-09-13 20:21:00,97.3 %
2025-09-13 20:21:15,97.3 %
2025-09-13 20:21:30,97.3 %
2025-09-13 20:21:45,97.3 %
2025-09-13 20:22:00,97.3 %
2025-09-13 20:22:15,97.3 %
2025-09-13 20:22:30,97.3 %
2025-09-13 20:22:45,97.3 %
2025-09-13 20:23:00,97.3 %
2025-09-13 20:23:15,98 %
2025-09-13 20:23:30,98 %
2025-09-13 20:23:45,98 %
2025-09-13 20:24:00,98 %
2025-09-13 20:24:15,98 %
2025-09-13 20:24:30,98 %
2025-09-13 20:24:45,98 %
2025-09-13 20:25:00,98 %
2025-09-13 20:25:15,98 %
2025-09-13 20:25:30,98 %
2025-09-13 20:25:45,98 %
2025-09-13 20:26:00,98 %
2025-09-13 20:26:15,98 %
2025-09-13 20:26:30,98 %
2025-09-13 20:26:45,98 %
2025-09-13 20:27:00,98 %
2025-09-13 20:27:15,98 %
2025-09-13 20:27:30,98 %
2025-09-13 20:27:45,98 %
2025-09-13 20:28:00,98 %
2025-09-13 20:28:15,98 %
2025-09-13 20:28:30,98.7 %
2025-09-13 20:28:45,98.8 %
2025-09-13 20:29:00,98.9 %
2025-09-13 20:29:15,98.9 %
2025-09-13 20:29:30,98.9 %
2025-09-13 20:29:45,99 %
2025-09-13 20:30:00,95 %
2025-09-13 20:30:15,96.3 %
2025-09-13 20:30:30,94 %
2025-09-13 20:30:45,94.3 %
2025-09-13 20:31:00,96.3 %
2025-09-13 20:31:15,97.7 %
2025-09-13 20:31:30,98.3 %
2025-09-13 20:31:45,98.3 %
2025-09-13 20:32:00,98.3 %
2025-09-13 20:32:15,98.4 %
2025-09-13 20:32:30,98.7 %
2025-09-13 20:32:45,98.7 %
2025-09-13 20:33:00,98.7 %
2025-09-13 20:33:15,98.7 %
2025-09-13 20:33:30,98 %
2025-09-13 20:33:45,98 %
2025-09-13 20:34:00,96.7 %
2025-09-13 20:34:15,96.7 %
2025-09-13 20:34:30,96.7 %
2025-09-13 20:34:45,96.7 %
2025-09-13 20:35:00,96.7 %
2025-09-13 20:35:15,96.7 %
2025-09-13 20:35:30,98 %
2025-09-13 20:35:45,98.3 %
2025-09-13 20:36:00,98.3 %
2025-09-13 20:36:15,98.3 %
2025-09-13 20:36:30,98.3 %
2025-09-13 20:36:45,98.3 %
2025-09-13 20:37:00,98.3 %
2025-09-13 20:37:15,98.3 %
2025-09-13 20:37:30,98.3 %
2025-09-13 20:37:45,98.3 %
2025-09-13 20:38:00,98.3 %
2025-09-13 20:38:15,98.2 %
2025-09-13 20:38:30,98.2 %
2025-09-13 20:38:45,98.1 %
2025-09-13 20:39:00,100 %
2025-09-13 20:39:15,100 %
2025-09-13 20:39:30,100 %
2025-09-13 20:39:45,100 %
2025-09-13 20:40:00,100 %
2025-09-13 20:40:15,100 %
2025-09-13 20:40:30,100 %
2025-09-13 20:40:45,100 %
2025-09-13 20:41:00,100 %
2025-09-13 20:41:15,100 %
2025-09-13 20:41:30,100 %
2025-09-13 20:41:45,100 %
2025-09-13 20:42:00,100 %
2025-09-13 20:42:15,100 %
2025-09-13 20:42:30,100 %
2025-09-13 20:42:45,100 %
2025-09-13 20:43:00,100 %
2025-09-13 20:43:15,100 %
2025-09-13 20:43:30,100 %
2025-09-13 20:43:45,100 %
2025-09-13 20:44:00,100 %
2025-09-13 20:44:15,100 %
2025-09-13 20:44:30,100 %
2025-09-13 20:44:45,100 %
2025-09-13 20:45:00,100 %
2025-09-13 20:45:15,100 %
2025-09-13 20:45:30,100 %
2025-09-13 20:45:45,100 %
2025-09-13 20:46:00,100 %
2025-09-13 20:46:15,100 %
2025-09-13 20:46:30,100 %
2025-09-13 20:46:45,100 %
2025-09-13 20:47:00,100 %
2025-09-13 20:47:15,100 %
2025-09-13 20:47:30,100 %
2025-09-13 20:47:45,100 %
2025-09-13 20:48:00,100 %
2025-09-13 20:48:15,100 %
2025-09-13 20:48:30,100 %
2025-09-13 20:48:45,100 %
2025-09-13 20:49:00,100 %
2025-09-13 20:49:15,100 %
2025-09-13 20:49:30,100 %
2025-09-13 20:49:45,100 %
2025-09-13 20:50:00,100 %
2025-09-13 20:50:15,100 %
2025-09-13 20:50:30,100 %
2025-09-13 20:50:45,100 %
2025-09-13 20:51:00,100 %
2025-09-13 20:51:15,100 %
2025-09-13 20:51:30,100 %
2025-09-13 20:51:45,100 %
2025-09-13 20:52:00,100 %
